partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
2900	ddh	P04964	N/A	N/A
2901	gag-pol	P04585	N/A	N/A
2903	mmcD	P52045	N/A	N/A
2904	yniC	Q7ADF8	N/A	N/A
2906	COPG	Q9Y678	22820	ENSG00000181789
2907	NR1H2	P55055	7376	ENSG00000131408
2908	yceI	P0A8X2	N/A	N/A
2909	cmk	P0A6I0	N/A	N/A
2910	nadE	P08164	N/A	N/A
2912	allC	P77425	N/A	N/A
2914	N/A	P52270	N/A	N/A
2915	fixL	P23222	N/A	N/A
2916	chb	Q54468	N/A	N/A
2917	pepV	P45494	N/A	N/A
2920	ksi	P00947	N/A	N/A
2921	HDAC8	Q9BY41	55869	ENSG00000147099
2922	glpK	P0A6F3	N/A	N/A
2925	fadL	P10384	N/A	N/A
2926	pgk/tpi	P36204	N/A	N/A
2928	N/A	P03300	N/A	N/A
2929	dhlB	Q60099	N/A	N/A
2931	folA	P00381	N/A	N/A
2935	metH	P13009	N/A	N/A
2936	nfnB	P38489	N/A	N/A
2937	ispF	Q8RQP5	N/A	N/A
2939	msrA	P0A745	N/A	N/A
2941	metE	Q9X112	N/A	N/A
2942	nanH	P29768	N/A	N/A
2944	neuA	P0A0Z8	N/A	N/A
2945	punA	P81989	N/A	N/A
2947	sprT	P00775	N/A	N/A
2948	amy	P29957	N/A	N/A
2949	nagB	P0A759	N/A	N/A
2950	ITPKA	P23677	3706	ENSG00000137825
2952	rpiA	P0A7Z3	N/A	N/A
2954	UROD	P06132	7389	ENSG00000126088
2957	bioH	P13001	N/A	N/A
2958	pptA	P31992	N/A	N/A
2961	opmA	P39767	N/A	N/A
2966	pyrR	P41007	N/A	N/A
2967	rfbE	P14169	N/A	N/A
2968	lip	P25275	N/A	N/A
2970	MMP16	P51512	4325	ENSG00000156103
2972	eryF	Q00441	N/A	N/A
2978	amyM	P19531	N/A	N/A
2981	PLA2G2A	P14555	5320	ENSG00000188257
2983	N/A	Q70AC7	N/A	N/A
2985	pepP	P15034	N/A	N/A
2988	ansB	Q88K39	N/A	N/A
2991	tagD	P27623	N/A	N/A
2992	N/A	O31410	N/A	N/A
2993	CTSS	P25774	1520	ENSG00000163131
2995	N/A	Q53464	N/A	N/A
2998	SIGLEC7	Q9Y286	27036	ENSG00000168995
2999	chiA	P07254	N/A	N/A
3000	nanA	P0A6L6	N/A	N/A
3004	def	Q8NX78	N/A	N/A
3005	cobD	P97084	N/A	N/A
3007	CA12	O43570	771	ENSG00000074410
3009	N/A	P23904	N/A	N/A
3010	blaR1	P18357	N/A	N/A
3011	ST14	Q9Y5Y6	6768	ENSG00000149418
3012	tag	P05100	N/A	N/A
3014	HRSP12	P52758	10247	ENSG00000132541
